# RA(deg) Dec(deg)
148.952521 69.678379
148.952903 69.678451
148.953246 69.678680
148.953786 69.678854
148.954103 69.678615
148.955063 69.679024
148.955345 69.679251
148.955449 69.678833
148.955859 69.679419
148.956256 69.679337
148.956312 69.678767
148.956449 69.678588
148.956843 69.679186
148.956951 69.678598
148.957080 69.678760
148.957156 69.679252
148.957212 69.679784
148.957239 69.678656
148.957736 69.678946
148.958025 69.679095
148.958111 69.678522
148.958258 69.679566
148.958398 69.678861
148.958513 69.679159
148.958719 69.678835
148.958789 69.679449
148.958952 69.678954
148.958967 69.679109
148.959343 69.679353
148.959397 69.678549
148.959527 69.679047
148.959596 69.679629
148.959684 69.678825
148.959929 69.679543
148.960035 69.678984
148.960245 69.679973
148.960289 69.679451
148.960596 69.678823
148.960773 69.679811
148.960802 69.680005
148.960877 69.678036
148.960953 69.679487
148.961089 69.679371
148.961149 69.679115
148.961371 69.677789
148.961493 69.679771
148.961686 69.678324
148.961786 69.679119
148.961915 69.679325
148.962045 69.680031
148.962058 69.679893
148.962274 69.680345
148.962294 69.678891
148.962479 69.679647
148.962512 69.679151
148.962624 69.678266
148.962704 69.679383
148.962711 69.678763
148.962716 69.679534
148.962742 69.680805
148.962910 69.679913
148.963002 69.680084
148.963017 69.679154
148.963105 69.679745
148.963501 69.680143
148.963566 69.679944
148.963582 69.678155
148.963720 69.679542
148.963786 69.678919
148.963999 69.679236
148.964254 69.679041
148.964269 69.679702
148.964381 69.680756
148.964451 69.678912
148.964536 69.679837
148.964686 69.678748
148.964776 69.679356
148.964811 69.680209
148.965113 69.678993
148.965132 69.679908
148.965212 69.678535
148.965323 69.679373
148.965447 69.680367
148.965502 69.679100
148.965687 69.679327
148.965837 69.679744
148.965860 69.680103
148.965913 69.680539
148.965913 69.678854
148.965930 69.681134
148.966076 69.679288
148.966215 69.680360
148.966589 69.679241
148.966618 69.680749
148.966743 69.678718
148.966749 69.680128
148.966870 69.679884
148.967258 69.680344
148.967518 69.681072
148.967647 69.678508
148.967732 69.679673
148.967800 69.680077
148.967904 69.679592
148.968003 69.681204
148.968162 69.679389
148.968203 69.679713
148.968248 69.678747
148.968268 69.678913
148.968345 69.680067
148.968529 69.680598
148.968691 69.680366
148.968736 69.678982
148.968983 69.678874
148.969012 69.680152
148.969237 69.680467
148.969299 69.679198
148.969474 69.679822
148.969653 69.679735
148.969668 69.680349
148.969805 69.680225
148.970013 69.680330
148.970058 69.679280
148.970159 69.680904
148.970196 69.681120
148.970258 69.680449
148.970280 69.680002
148.970662 69.679813
148.970968 69.679842
148.971260 69.678936
148.971273 69.679939
148.971304 69.680239
148.971594 69.680610
148.971605 69.680455
148.971811 69.679039
148.971839 69.680143
148.971955 69.681035
148.972055 69.679872
148.972362 69.680388
148.972404 69.680102
148.972530 69.680582
148.972579 69.680730
148.972597 69.679603
148.972665 69.680861
148.972879 69.680405
148.973135 69.679668
148.973455 69.679660
148.973630 69.680663
148.973941 69.679569
148.974002 69.680210
148.974311 69.681262
148.974331 69.680839
148.974365 69.680640
148.974394 69.680045
148.974756 69.680652
148.975037 69.681589
148.975061 69.679994
148.975511 69.681301
148.975539 69.681081
148.976113 69.681099
148.976459 69.680489
148.976765 69.681012
